iter	Passed	Remaining
660	13504	6925
661	13512	6899
662	13519	6871
663	13527	6845
664	13532	6817
665	13537	6788
666	13539	6759
667	13542	6730
668	13547	6702
669	13554	6676
670	13561	6649
671	13565	6621
672	13574	6595
673	13588	6572
674	13591	6544
675	13607	6521
676	13619	6497
677	13626	6471
678	13654	6455
679	13656	6426
680	13665	6401
681	13679	6378
682	13690	6353
683	13699	6328
684	13703	6301
685	13706	6273
686	13715	6248
687	13722	6222
688	13729	6197
689	13733	6170
690	13746	6147
691	13753	6121
692	13757	6094
693	13760	6067
694	13769	6042
695	13780	6019
696	13783	5992
697	13788	5965
698	13790	5938
699	13794	5911
700	13802	5887
701	13810	5862
702	13818	5837
703	13821	5811
704	13827	5785
705	13832	5760
706	13837	5734
707	13842	5709
708	13848	5683
709	13851	5657
710	13858	5633
711	13872	5611
712	13875	5585
713	13887	5562
714	13896	5539
715	13902	5514
716	13906	5488
717	13911	5464
718	13917	5439
719	13921	5413
720	13926	5388
721	13931	5364
722	13936	5339
723	13945	5316
724	13950	5291
725	13954	5266
726	13961	5242
727	13966	5218
728	13968	5192
729	13976	5169
730	13982	5145
731	13988	5121
732	13998	5098
733	14002	5074
734	14006	5049
735	14008	5024
736	14010	4999
737	14017	4976
738	14023	4952
739	14028	4929
740	14032	4904
741	14035	4880
742	14039	4856
743	14043	4832
744	14046	4808
745	14053	4785
746	14076	4767
747	14081	4743
748	14084	4719
749	14086	4695
750	14092	4672
751	14103	4651
752	14113	4629
753	14115	4605
754	14117	4581
755	14120	4557
756	14124	4533
757	14131	4511
758	14137	4488
759	14144	4466
760	14146	4442
761	14151	4419
762	14155	4397
763	14161	4374
764	14166	4351
765	14171	4329
766	14173	4305
767	14175	4282
768	14180	4259
769	14187	4237
770	14192	4215
771	14197	4193
772	14204	4171
773	14209	4149
774	14213	4126
775	14219	4104
776	14224	4082
777	14234	4061
778	14237	4039
779	14243	4017
780	14251	3996
781	14256	3974
782	14260	3952
783	14264	3930
784	14280	3911
785	14299	3893
786	14302	3871
787	14304	3848
788	14346	3836
789	14361	3817
790	14386	3801
791	14413	3785
792	14420	3764
793	14438	3746
794	14455	3727
795	14458	3705
796	14480	3688
797	14499	3670
798	14515	3651
799	14517	3629
800	14520	3607
801	14562	3595
802	14590	3579
803	14596	3558
804	14603	3537
805	14612	3517
806	14615	3495
807	14627	3475
808	14665	3462
809	14685	3444
810	14691	3423
811	14710	3405
812	14976	3444
813	14986	3424
814	14994	3403
815	14997	3381
816	15048	3370
817	15052	3349
818	15057	3327
819	15062	3306
820	15066	3284
821	15070	3263
822	15074	3242
823	15078	3220
824	15083	3199
825	15087	3178
826	15092	3157
827	15099	3136
828	15114	3117
829	15120	3096
830	15128	3076
831	15136	3056
832	15155	3038
833	15162	3017
834	15169	2997
835	15178	2977
836	15183	2956
837	15191	2936
838	15197	2916
839	15203	2895
840	15206	2874
841	15342	2879
842	15346	2858
843	15357	2838
844	15537	2849
845	15540	2828
846	15668	2830
847	15717	2817
848	15727	2797
849	15729	2775
850	15762	2759
851	16013	2781
852	16025	2761
853	16028	2740
854	16030	2718
855	16047	2699
856	16055	2678
857	16067	2659
858	16069	2637
859	16070	2616
860	16084	2596
861	16120	2580
862	16132	2560
863	16134	2539
864	16144	2519
865	16150	2499
866	16157	2478
867	16169	2458
868	16187	2440
869	16192	2419
870	16220	2402
871	16234	2382
872	16236	2361
873	16238	2341
874	16278	2325
875	16302	2307
876	16304	2286
877	16306	2265
878	16308	2244
879	16367	2231
880	16370	2211
881	16373	2190
882	16402	2173
883	16410	2153
884	16422	2133
885	16432	2114
886	16447	2095
887	16466	2076
888	16490	2059
889	16498	2039
890	16519	2020
891	16555	2004
892	16572	1985
893	16606	1968
894	16620	1949
895	16637	1931
896	16677	1914
897	16680	1894
898	16691	1875
899	16701	1855
900	16710	1836
901	16767	1821
902	16773	1801
903	16776	1781
904	17088	1793
905	17217	1786
906	17219	1765
907	17221	1744
908	17224	1724
909	17317	1712
910	17325	1692
911	17329	1672
912	17331	1651
913	17333	1630
914	17345	1611
915	17352	1591
916	17390	1574
917	17394	1553
918	17396	1533
919	17414	1514
